Timestamp,highest educational degree,current job,faked a degree,level of concernedness about FD,level of confidence in the ability to detect FD during  hiring,encourage more measures,familiar with verification methods,know employees with FD,interested in our website,how likely to recommend our website
12/07/2023 21:02,Doctorate Degree,Professor/teacher,No,1,5,Yes,No,No,No,5
12/07/2023 22:56,Bachelor’s Degree,Other,No,3,3,Yes,No,No,Yes,4
12/07/2023 22:57,High School Diploma,Professor/teacher,Yes,1,1,Yes,Yes,Yes,Yes,1
12/07/2023 23:03,Associate’s Degree,Other,No,3,3,Yes,I prefer not to say,No,Maybe,4
12/07/2023 23:21,Bachelor’s Degree,Other,No,3,4,Yes,No,No,No,1
12/07/2023 23:35,Bachelor’s Degree,Professor/teacher,No,5,3,Yes,No,No,Yes,4
13/07/2023 00:18,Bachelor’s Degree,Other,No,3,3,Yes,Yes,Yes,Yes,4
13/07/2023 01:07,High School Diploma,Professor/teacher,Yes,1,1,Yes,Yes,Yes,Yes,1
13/07/2023 17:11,Bachelor’s Degree,Recruiter,No,4,2,Yes,No,No,Yes,4
13/07/2023 23:14,Master’s Degree,Professor/teacher,No,1,3,Yes,Yes,No,Yes,5
